[Path1] new start x:52.9673 y:63.6838 t:0
[Path1] new goal x:16.7675 y:49.1923 t:180
[Path1] 开始路径规划...
[Path1] A*搜索完成，用时: 0.0131981 秒
[Path1] Raw Path (x, y, heading_deg, drive):
  52.9673, 63.6838, 0, 正向
  52.262, 63.6423, 353.25, 倒车
  51.5568, 63.6838, 346.5, 倒车
  50.8614, 63.808, 339.75, 倒车
  50.2141, 64.0911, 346.5, 倒车
  49.5381, 64.2962, 353.25, 倒车
  48.8427, 64.4204, 1.00179e-05, 倒车
  48.1374, 64.462, 6.75001, 倒车
  47.4322, 64.4204, 13.5, 倒车
  46.7368, 64.2962, 20.25, 倒车
  46.0607, 64.0911, 27, 倒车
  45.4135, 63.808, 33.75, 倒车
  44.238, 63.0226, 33.75, 倒车
  43.0626, 62.2372, 33.75, 倒车
  42.4748, 61.8445, 33.75, 倒车
  41.2994, 61.0591, 33.75, 倒车
  40.6899, 60.7019, 40.5, 倒车
  40.1266, 60.2755, 47.25, 倒车
  39.6174, 59.7859, 54, 倒车
  39.1692, 59.2398, 60.75, 倒车
  38.7884, 58.6448, 67.5, 倒车
  38.4801, 58.0092, 74.25, 倒车
  38.2486, 57.3417, 81, 倒车
  38.0972, 56.6517, 87.75, 倒车
  38.028, 55.9486, 94.5, 倒车
  38.0418, 55.2423, 101.25, 倒车
  38.1386, 54.5425, 108, 倒车
  38.317, 53.8589, 114.75, 倒车
  38.5745, 53.2011, 121.5, 倒车
  38.2415, 53.8241, 128.25, 正向
  37.8375, 54.4037, 135, 正向
  37.0749, 55.0487, 144.549, 正向
  36.2158, 55.5583, 154.099, 正向
  35.2841, 55.9184, 163.648, 正向
  34.3056, 56.1188, 173.197, 正向
  33.3074, 56.1542, 182.746, 正向
  32.3171, 56.0234, 192.296, 正向
  31.3623, 55.7302, 201.845, 正向
  30.4588, 55.3024, 206.451, 正向
  29.5635, 54.8569, 206.451, 正向
  28.6682, 54.4115, 206.451, 正向
  27.7729, 53.9661, 206.451, 正向
  26.8775, 53.5206, 206.451, 正向
  25.9822, 53.0752, 206.451, 正向
  25.0869, 52.6298, 206.451, 正向
  24.1916, 52.1843, 206.451, 正向
  23.2963, 51.7389, 206.451, 正向
  22.401, 51.2935, 206.451, 正向
  21.5056, 50.848, 206.451, 正向
  20.6103, 50.4026, 206.451, 正向
  19.715, 49.9572, 206.451, 正向
  18.8033, 49.5482, 199.834, 正向
  17.8387, 49.2887, 190.284, 正向
  16.8445, 49.1928, 180.735, 正向
[Path1] Smoothed Path (x, y, heading_deg, drive):
  52.9673, 63.6838, 0, 正向
  52.262, 63.6423, 353.25, 倒车
  51.5622, 63.6914, 346.5, 倒车
  50.866, 63.8009, 351.067, 倒车
  50.1717, 63.9408, 348.606, 倒车
  49.4784, 64.0833, 348.385, 倒车
